group_id,major_code,major_name,membership_evidence_url,verification_status
WRU-500108,500108,动车组检修技术,https://jwc.wru.edu.cn/zyjs/rcpyfa/1.htm,verified
WRU-500108,500105,铁道机车运用与维护,https://jwc.wru.edu.cn/zyjs/rcpyfa/1.htm,verified
WRU-500108,500106,铁道车辆技术,https://jwc.wru.edu.cn/zyjs/rcpyfa/1.htm,verified
WRU-500108,500602,城市轨道车辆应用技术,https://jwc.wru.edu.cn/zyjs/rcpyfa/1.htm,verified
WRU-500111,500111,铁道通信与信息化技术,https://thxy.wru.edu.cn/info/1007/3887.htm,verified
WRU-500111,500110,铁道信号自动控制,https://thxy.wru.edu.cn/info/1007/3887.htm,verified
WRU-500111,500604,城市轨道交通通信信号技术,https://thxy.wru.edu.cn/info/1007/3887.htm,verified
WRU-500111,510301,现代通信技术,https://thxy.wru.edu.cn/info/1007/3887.htm,verified
WRU-500111,460404,轨道交通通信信号设备制造与维护,https://thxy.wru.edu.cn/info/1007/3887.htm,verified
