record_id,old_filename,new_filename,old_relative_path,new_relative_path,naming_basis,source_page_url,download_url,sha256,status
HNMMC-550103/550113,85611557-7cc9-4ddf-b575-4eecf3f2faa4.pdf,2025级广告艺术设计专业（影视广告方向）人才培养方案.pdf,documents/湖南/HNMMC_湖南大众传媒职业技术学院/数字媒体艺术设计专业群/550113_广告艺术设计/85611557-7cc9-4ddf-b575-4eecf3f2faa4.pdf,documents/湖南/HNMMC_湖南大众传媒职业技术学院/数字媒体艺术设计专业群/550113_广告艺术设计/2025级广告艺术设计专业（影视广告方向）人才培养方案.pdf,官网附件标题,https://jwc.hnmmc.cn/2025/1205/c1447a51654/page.htm,https://jwc.hnmmc.cn/_upload/article/files/98/72/4dd5ceca45618b99f3a04bfb94b4/85611557-7cc9-4ddf-b575-4eecf3f2faa4.pdf,4824a2d9803c49a1e1329934d086aa8f522b02886d28d9224dc9235617c447fc,已执行
HNMMC-550103/550114,3fd04763-1338-494d-bd80-93344fb87d38.pdf,2025级室内艺术设计专业人才培养方案.pdf,documents/湖南/HNMMC_湖南大众传媒职业技术学院/数字媒体艺术设计专业群/550114_室内艺术设计/3fd04763-1338-494d-bd80-93344fb87d38.pdf,documents/湖南/HNMMC_湖南大众传媒职业技术学院/数字媒体艺术设计专业群/550114_室内艺术设计/2025级室内艺术设计专业人才培养方案.pdf,官网附件标题,https://jwc.hnmmc.cn/2025/1211/c1444a51710/page.htm,https://jwc.hnmmc.cn/_upload/article/files/22/86/44b351e142d6b0d334ecaf41aaa9/3fd04763-1338-494d-bd80-93344fb87d38.pdf,63dbeb9287ea91e441f4b398b41616dc527cd34d32626eb0ded33c4187e50b5f,已执行
HNMMC-550103/550117,4fa26f05-124a-4aa8-9f54-d68ff22dd55d.pdf,2025级人物形象设计专业人才培养方案.pdf,documents/湖南/HNMMC_湖南大众传媒职业技术学院/数字媒体艺术设计专业群/550117_人物形象设计/4fa26f05-124a-4aa8-9f54-d68ff22dd55d.pdf,documents/湖南/HNMMC_湖南大众传媒职业技术学院/数字媒体艺术设计专业群/550117_人物形象设计/2025级人物形象设计专业人才培养方案.pdf,官网附件标题,https://jwc.hnmmc.cn/2025/1211/c1445a51702/page.htm,https://jwc.hnmmc.cn/_upload/article/files/b5/03/0d49e55d4a9cbf318b2c6d09a20e/4fa26f05-124a-4aa8-9f54-d68ff22dd55d.pdf,fa35f6a7e1d5fd0dbeeb97389011d7961ea77beee84a4dc0d0357ab5769f9441,已执行
HNCVTC-490201/490202,e2b6d186811d4080b63feb114f03b8ad.pdf,湖南化工职业技术学院-药品生产技术专业群-生物制药技术.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/490202_生物制药技术/e2b6d186811d4080b63feb114f03b8ad.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/490202_生物制药技术/湖南化工职业技术学院-药品生产技术专业群-生物制药技术.pdf,学校-专业群-专业兜底,https://www.hnhgzy.com/jwc/rcpy/dc67df2e0155409eaeeae1b66cc44936.htm,https://www.hnhgzy.com/jwc/docs/2025-08/e2b6d186811d4080b63feb114f03b8ad.pdf,cdee18c923e9a1a75820619c4da149690bf4fa0a07d227ae1276028bf8635117,已执行
HNCVTC-490201/520301,89da5e03b1eb4794955871ebef5ad2bd.pdf,湖南化工职业技术学院-药品生产技术专业群-药学.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/520301_药学/89da5e03b1eb4794955871ebef5ad2bd.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/520301_药学/湖南化工职业技术学院-药品生产技术专业群-药学.pdf,学校-专业群-专业兜底,https://www.hnhgzy.com/jwc/rcpy/c07af16fcf9044f4b87ec3f276f9e6db.htm,https://www.hnhgzy.com/jwc/docs/2025-08/89da5e03b1eb4794955871ebef5ad2bd.pdf,844ba609c04f05ae6e7ad79df6e51f449733820b16ade2a65833295b7adf3356,已执行
HNCVTC-490201/480101,5b5b96ad386b4aada6dc58b95346bd5e.pdf,湖南化工职业技术学院-药品生产技术专业群-化妆品技术.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/480101_化妆品技术/5b5b96ad386b4aada6dc58b95346bd5e.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/480101_化妆品技术/湖南化工职业技术学院-药品生产技术专业群-化妆品技术.pdf,学校-专业群-专业兜底,https://www.hnhgzy.com/jwc/rcpy/ad060457f93e43c4b4eef17a9272aac8.htm,https://www.hnhgzy.com/jwc/docs/2025-08/5b5b96ad386b4aada6dc58b95346bd5e.pdf,b6c249ef2ea322c4d88dfdf7fc8383245b0cd3feab3f8d2a0590369eee7e6cc5,已执行
HNCVTC-490201/470208,e0e5c90f447c4b30a371081a0aca3625.pdf,湖南化工职业技术学院-药品生产技术专业群-分析检验技术.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/470208_分析检验技术/e0e5c90f447c4b30a371081a0aca3625.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/470208_分析检验技术/湖南化工职业技术学院-药品生产技术专业群-分析检验技术.pdf,学校-专业群-专业兜底,https://www.hnhgzy.com/jwc/rcpy/6c25e5aad9644a8dab62b12bd2678e03.htm,https://www.hnhgzy.com/jwc/docs/2025-08/e0e5c90f447c4b30a371081a0aca3625.pdf,6d22ff62bdbfa61724d7ffd1b55576a4065468db62918294b1a1b38a774f2392,已执行
HNCVTC-490201/490201,fcd65772f8b94f108aaf724df2518973.pdf,湖南化工职业技术学院-药品生产技术专业群-药品生产技术.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/490201_药品生产技术/fcd65772f8b94f108aaf724df2518973.pdf,documents/湖南/HNCVTC_湖南化工职业技术学院/药品生产技术专业群/490201_药品生产技术/湖南化工职业技术学院-药品生产技术专业群-药品生产技术.pdf,学校-专业群-专业兜底,https://www.hnhgzy.com/jwc/rcpy/7b221ad935cf4c3c9bdb65dac2e24034.htm,https://www.hnhgzy.com/jwc/docs/2025-08/fcd65772f8b94f108aaf724df2518973.pdf,6d2b1426ef954a60a297398d670f1acb0014728291a5de6c4217e128b604511d,已执行
SJZPC-500703/500703,virtual_attach_file.pdf,石家庄邮电职业技术学院-邮政通信管理专业群-邮政通信管理.pdf,documents/河北/SJZPC_石家庄邮电职业技术学院/邮政通信管理专业群/500703_邮政通信管理/virtual_attach_file.pdf,documents/河北/SJZPC_石家庄邮电职业技术学院/邮政通信管理专业群/500703_邮政通信管理/石家庄邮电职业技术学院-邮政通信管理专业群-邮政通信管理.pdf,学校-专业群-专业兜底,https://www.sjzpc.edu.cn/info/2061/66411.htm,https://www.sjzpc.edu.cn/virtual_attach_file.vsb?afc=KLl7Osoz7PUz9iUx4CaMm-8U4fRM7LJsMm9bU4TRL87aM8L0gihFp2hmCIa0Mkhkn1yDLSy8ozGsUz9boRNYnN7sLz7PollsUzCiMN7ioRfFLmAVozvinmVFL4GaozGJv2nto4OeosM/_jTN_jT/vsAbgDTJQty0LmGDLSyDMmUPLSbw6208c&oid=2136892607&tid=2061&nid=66411&e=.pdf,60ab2bd5939f671c2111f3f806162fe95092755af2d87e5beef9a6d75ca17680,已执行
JSJZI-440304/440304,6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,1-智能建造技术专业群人才培养方案 (2025版).pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440304_智能建造技术/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440304_智能建造技术/1-智能建造技术专业群人才培养方案 (2025版).pdf,官网附件标题,https://jwc.jsviat.edu.cn/2025/0929/c6729a148576/page.htm,https://jwc.jsviat.edu.cn/_upload/article/files/8d/63/989c420643d7853c33d3735e505a/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,12cc8e989391b6612e88a406ad032c74cf46938683a638438ac8551685e98170,已执行
