institution_code,seed_url,seed_type,evidence_url,verification_status
STIEI,https://xxgk.stiei.edu.cn/_upload/article/files/37/84/d6da89d4416a91f39b7e1d3378b7/77ae5131-4e9b-41f3-ba10-c152ab54e379.pdf,official_2025_work_plan_second_round_groups,https://xxgk.stiei.edu.cn/,verified
STIEI,https://edu.sh.gov.cn/zyjy_zjzc/20260317/19f5577dbdbc41a895a33a3aa26bc919.html,official_current_integrated_circuit_group_core,https://edu.sh.gov.cn/,verified
STIEI,https://zsw.stiei.edu.cn/_upload/article/files/11/72/0da0d32a4c3189b17e379f24da48/7d3cc915-467d-4375-8ac0-679bbb8c398a.pdf,official_2026_group_members_and_core_brochure,https://zsw.stiei.edu.cn/,verified
STIEI,https://xyzyzdw.stiei.edu.cn/_upload/article/files/fd/3a/5d696e4748fc993965c8b97ca0b6/7b287730-8424-4e1b-8467-66e0ba4c90c3.pdf,official_2025_quality_report_group_core,https://xyzyzdw.stiei.edu.cn/,verified
STIEI,https://xxgk.stiei.edu.cn/_upload/article/files/a0/14/aa11aeb54b139ff768e7baa20cfa/2d8b8dac-fc72-4a14-9ff2-265be265de6e.pdf,official_2025_electronics_training_plan_compendium,https://xxgk.stiei.edu.cn/,verified
STIEI,https://xxgk.stiei.edu.cn/_upload/article/files/90/da/08ec7aea402a9652dfdedc527c67/58c32252-1ba9-4315-95d0-6fecf69b7b22.pdf,official_2025_mechanical_training_plan_compendium,https://xxgk.stiei.edu.cn/,verified
