group_id,major_code,major_name,membership_evidence_url,verification_status
GDIPU-460301,460301,机电一体化技术,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,verified
GDIPU-460301,460306,电气自动化技术,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,verified
GDIPU-460301,460305,工业机器人技术,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,verified
GDIPU-460301,460101,机械设计与制造,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,verified
GDIPU-460301,460104,机械制造及自动化,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,verified
GDIPU-470104,470104,化工生物技术,https://sp.gdipu.edu.cn/info/1151/6582.htm,verified
GDIPU-470104,490103,食品营养与健康,https://sp.gdipu.edu.cn/info/1151/6602.htm,verified
GDIPU-470104,490202,生物制药技术,https://sp.gdipu.edu.cn/info/1151/6572.htm,verified
