group_id,major_code,major_name,membership_evidence_url,verification_status
LNMEC-460301,460301,机电一体化技术,https://zsjy.lnmec.edu.cn/info/1231/2262.htm,verified
LNMEC-460301,460305,工业机器人技术,https://zsjy.lnmec.edu.cn/info/1231/2262.htm,verified
LNMEC-460301,460104,机械制造及自动化,https://zsjy.lnmec.edu.cn/info/1231/2272.htm,verified
LNMEC-510401,510401,集成电路技术,https://zsjy.lnmec.edu.cn/info/1231/2332.htm,verified
LNMEC-510401,460307,工业过程自动化技术,https://zsjy.lnmec.edu.cn/info/1231/2332.htm,verified
LNMEC-510401,460308,工业自动化仪表技术,https://zsjy.lnmec.edu.cn/info/1231/2332.htm,verified
LNMEC-510401,510101,电子信息工程技术,https://zsjy.lnmec.edu.cn/info/1231/2332.htm,verified
LNMEC-510401,460201,智能制造装备技术,https://zsjy.lnmec.edu.cn/info/1231/2272.htm,verified
