institution_code,seed_url,seed_type,evidence_url,verification_status
LMU,https://www.lmu.edu.cn/znzz/info/1070/5672.htm,official_current_second_phase_group,https://www.lmu.edu.cn/znzz/xwgg/xydt/50.htm,verified
LMU,https://www.lmu.edu.cn/znzz/info/1070/7212.htm,official_current_group_committee,https://www.lmu.edu.cn/znzz/,verified
LMU,https://www.lmu.edu.cn/znzz/xygk/zyjj.htm,official_current_major_index,https://www.lmu.edu.cn/znzz/,verified
LMU,https://www.lmu.edu.cn/jwc/zyrcpyfa.htm,official_2025_training_plan_index,https://www.lmu.edu.cn/jwc/,verified
LMU,https://www.lmu.edu.cn/jwc/info/1078/2197.htm,official_2025_training_plan_page,https://www.lmu.edu.cn/jwc/zyrcpyfa.htm,verified
