institution_code,url,source_type,discovered_from,verification_status
SXFTC,https://www.sxftc.edu.cn/xxgk/xxjj.htm,official_current_school_profile,https://www.sxftc.edu.cn/,verified
SXFTC,https://www.sxftc.edu.cn/zsxx/xyjs/hjxy.htm,official_second_phase_accounting_group_evidence,https://www.sxftc.edu.cn/zsxx/,verified
SXFTC,https://www.sxftc.edu.cn/__local/7/58/C3/42ADC232063CB5B84384BD3D0D0_1DF8446F_C89200.pdf,official_2025_quality_report,https://www.sxftc.edu.cn/xxgk1.htm,verified
SXFTC,https://www.sxftc.edu.cn/info/1026/70553.htm,official_2025_talent_plan_review_news,https://www.sxftc.edu.cn/,verified
SXFTC,https://www.sxftc.edu.cn/xxgk1.htm,official_information_disclosure,https://www.sxftc.edu.cn/,verified
SXFTC,https://jw.sxftc.edu.cn/,official_teaching_system,https://www.sxftc.edu.cn/,access_blocked
