group_id,major_code,major_name,membership_evidence_url,verification_status
WSPC-460501,460501,船舶工程技术,https://www.wspc.edu.cn/info/1023/1533.htm,verified
WSPC-460501,460505,船舶舾装工程技术,https://www.wspc.edu.cn/info/1023/1533.htm,verified
WSPC-460501,460510,海洋工程装备技术,https://www.wspc.edu.cn/info/1023/1533.htm,verified
WSPC-460501,460504,船舶智能焊接技术,https://www.wspc.edu.cn/info/1023/1533.htm,verified
WSPC-460501,460508,游艇设计与制造,https://www.wspc.edu.cn/info/1023/1533.htm,verified
WSPC-500308,500308,船舶电子电气技术,https://www.wspc.edu.cn/info/1017/50767.htm,verified
