institution_code,seed_url,seed_type,evidence_url,verification_status
WHTCC,https://www.whtcc.edu.cn/info/1013/17045.htm,official_current_double_high_confirmation,https://www.whtcc.edu.cn/,verified
WHTCC,https://znzz.whtcc.edu.cn/info/1181/3075.htm,official_current_group_membership,https://znzz.whtcc.edu.cn/,verified
WHTCC,https://www.whtcc.edu.cn/info/1046/16293.htm,official_2025_group_profile,https://www.whtcc.edu.cn/,verified
WHTCC,https://jw.whtcc.edu.cn/fwygl/zyjs.htm,official_training_plan_index,https://jw.whtcc.edu.cn/,verified
WHTCC,https://znzz.whtcc.edu.cn/,official_group_college_index,https://znzz.whtcc.edu.cn/,verified
