institution_code,seed_url,seed_type,evidence_url,verification_status
CVIT,https://www.tech.net.cn/upload/202511/27/202511271503569475.pdf,official_second_phase_funding,https://www.tech.net.cn/,verified
CVIT,https://www.cvit.edu.cn/info/1244/3223.htm,official_2025_work_plan,https://www.cvit.edu.cn/,verified
CVIT,https://www.cvit.edu.cn/info/1244/3253.htm,official_2026_budget_and_new_double_high_tasks,https://www.cvit.edu.cn/,verified
CVIT,https://www.cvit.edu.cn/__local/B/2B/D8/ABE9771A032B5A04DBD4CB865A6_2980D541_8EE7F3.pdf,official_2025_quality_report_and_group_members,https://www.cvit.edu.cn/,verified
CVIT,https://www.cvit.edu.cn/jyjx/zyrcpyfa.htm,official_training_plan_index,https://www.cvit.edu.cn/,verified
CVIT,https://www.cvit.edu.cn/jyjx/zyrcpyfa/2.htm,official_training_plan_index_page_2,https://www.cvit.edu.cn/,verified
CVIT,https://www.cvit.edu.cn/jyjx/zyrcpyfa/1.htm,official_training_plan_index_page_3,https://www.cvit.edu.cn/,verified
