层次	专业名称及代码	预期字节数	实际字节数	PDF文件头	状态	本地相对路径
职业本科	260602 飞行器维修工程技术	357568	357568	%PDF-	OK	职业本科/装备制造大类/航空装备类/260602_飞行器维修工程技术.pdf
职业本科	260604 无人机系统应用技术	356405	356405	%PDF-	OK	职业本科/装备制造大类/航空装备类/260604_无人机系统应用技术.pdf
职业本科	260203 电梯工程技术	340476	340476	%PDF-	OK	职业本科/装备制造大类/机电设备类/260203_电梯工程技术.pdf
职业本科	260101 机械设计制造及自动化	364618	364618	%PDF-	OK	职业本科/装备制造大类/机械设计制造类/260101_机械设计制造及自动化.pdf
职业本科	260102 智能制造工程技术	365378	365378	%PDF-	OK	职业本科/装备制造大类/机械设计制造类/260102_智能制造工程技术.pdf
职业本科	260104 工业设计	355044	355044	%PDF-	OK	职业本科/装备制造大类/机械设计制造类/260104_工业设计.pdf
职业本科	260106 材料成型及控制工程	355977	355977	%PDF-	OK	职业本科/装备制造大类/机械设计制造类/260106_材料成型及控制工程.pdf
职业本科	260701 汽车工程技术	354428	354428	%PDF-	OK	职业本科/装备制造大类/汽车制造类/260701_汽车工程技术.pdf
职业本科	260702 新能源汽车工程技术	355844	355844	%PDF-	OK	职业本科/装备制造大类/汽车制造类/260702_新能源汽车工程技术.pdf
职业本科	260301 机械电子工程技术	335296	335296	%PDF-	OK	职业本科/装备制造大类/自动化类/260301_机械电子工程技术.pdf
职业本科	260302 电气工程及自动化	373578	373578	%PDF-	OK	职业本科/装备制造大类/自动化类/260302_电气工程及自动化.pdf
职业本科	260304 机器人技术	351322	351322	%PDF-	OK	职业本科/装备制造大类/自动化类/260304_机器人技术.pdf
职业本科	260305 自动化技术与应用	349805	349805	%PDF-	OK	职业本科/装备制造大类/自动化类/260305_自动化技术与应用.pdf
职业本科	220801 生态环境工程技术	359795	359795	%PDF-	OK	职业本科/资源环境与安全大类/环境保护类/220801_生态环境工程技术.pdf
高职专科	530301 大数据与财务管理	336825	336825	%PDF-	OK	高职专科/财经商贸大类/财务会计类/530301_大数据与财务管理.pdf
高职专科	530302 大数据与会计	356982	356982	%PDF-	OK	高职专科/财经商贸大类/财务会计类/530302_大数据与会计.pdf
高职专科	530303 大数据与审计	332483	332483	%PDF-	OK	高职专科/财经商贸大类/财务会计类/530303_大数据与审计.pdf
高职专科	530304 会计信息管理	339442	339442	%PDF-	OK	高职专科/财经商贸大类/财务会计类/530304_会计信息管理.pdf
