group_id,major_code,major_name,membership_evidence_url,verification_status
WTU-510109,510109,智能光电技术应用,https://dx.wtc.edu.cn/249/list.htm,verified
WTU-510109,510301,现代通信技术,https://dx.wtc.edu.cn/249/list.htm,verified
WTU-510109,510101,电子信息工程技术,https://dx.wtc.edu.cn/249/list.htm,verified
WTU-510109,510102,物联网应用技术,https://dx.wtc.edu.cn/249/list.htm,verified
WTU-510109,510401,集成电路技术,https://dx.wtc.edu.cn/249/list.htm,verified
WTU-510207,510207,信息安全技术应用,https://it.wtc.edu.cn/2025/0711/c5765a128032/page.htm,verified
WTU-510207,510209,人工智能技术应用,https://it.wtc.edu.cn/2025/0711/c5765a128032/page.htm,verified
WTU-510207,510214,工业软件开发技术,https://it.wtc.edu.cn/2025/0711/c5765a128032/page.htm,verified
WTU-510207,510203,软件技术,https://it.wtc.edu.cn/2025/0711/c5765a128032/page.htm,verified
WTU-510207,510205,大数据技术,https://it.wtc.edu.cn/2025/0711/c5765a128032/page.htm,verified
WTU-510207,510202,计算机网络技术,https://it.wtc.edu.cn/2025/0711/c5765a128032/page.htm,verified
