group_id,major_code,major_name,membership_evidence_url,verification_status
SDMY-410303,410303,畜牧兽医,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,verified
SDMY-410303,410307,畜禽智能化养殖,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,verified
SDMY-410303,410301,动物医学,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,verified
SDMY-410303,490104,食品检验检测技术,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,verified
SDMY-410303,510102,物联网应用技术,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,verified
