institution_code,seed_url,seed_type,evidence_url,verification_status
SDMY,https://www.sdmy.edu.cn/info/1024/14459.htm,official_second_phase_group_evidence,https://www.sdmy.edu.cn/info/1024/14459.htm,verified
SDMY,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,official_2025_quality_report_group_membership,https://www.sdmy.edu.cn/__local/2/EB/5E/0173A29EEEC80D3C0C123D09BBE_F81DD0F2_842E05.pdf,verified
SDMY,https://jwc.sdmy.edu.cn/rcpy.htm,teaching_affairs_plan_index,https://jwc.sdmy.edu.cn/rcpy.htm,verified
SDMY,https://jwc.sdmy.edu.cn/info/1045/2309.htm,official_2025_plan,https://jwc.sdmy.edu.cn/info/1045/2309.htm,verified
SDMY,https://jwc.sdmy.edu.cn/info/1045/2330.htm,official_2025_plan,https://jwc.sdmy.edu.cn/info/1045/2330.htm,verified
SDMY,https://jwc.sdmy.edu.cn/info/1045/2323.htm,official_2025_plan,https://jwc.sdmy.edu.cn/info/1045/2323.htm,verified
SDMY,https://jwc.sdmy.edu.cn/info/1045/2210.htm,official_wrong_year_plan,https://jwc.sdmy.edu.cn/info/1045/2210.htm,verified
SDMY,https://jwc.sdmy.edu.cn/info/1045/2211.htm,official_wrong_year_plan,https://jwc.sdmy.edu.cn/info/1045/2211.htm,verified
