institution_code,seed_url,seed_type,evidence_url,verification_status
GDGM,https://www.tech.net.cn/upload/202511/27/202511271503569475.pdf,official_second_phase_funding,https://www.tech.net.cn/upload/202511/27/202511271503569475.pdf,verified
GDGM,https://www.gdgm.edu.cn/2026/0106/c4157a63401/page.htm,official_2025_quality_report_page,https://www.gdgm.edu.cn/ndzlbg/list.htm,verified
GDGM,https://www.gdgm.edu.cn/_upload/article/files/7f/06/dcf08d7940e5a7fba7b8b2d8772c/ea3a505a-32a9-4df8-94f7-968ad07bc5ac.pdf,official_2025_quality_report_pdf,https://www.gdgm.edu.cn/2026/0106/c4157a63401/page.htm,verified
GDGM,https://www.gdgm.edu.cn/jwc/,official_academic_affairs_home,https://www.gdgm.edu.cn/jwc/,verified
GDGM,https://www.gdgm.edu.cn/jwc/274/list.htm,official_academic_affairs_work_news,https://www.gdgm.edu.cn/jwc/,verified
