institution_code,url,source_type,discovered_from,verification_status
LNNZY,https://www.lnnzy.ln.cn/news/detail/19833.html,official_second_phase_national_group_procurement,https://www.lnnzy.ln.cn/,verified
LNNZY,https://www.ln.gov.cn/web/zwgkx/sjjhczbg/czys/bmys/202590/zfbm/2026020409325541508/2026021212064151246.pdf,official_liaoning_2026_budget_group_target,https://www.ln.gov.cn/,verified
LNNZY,https://zsw.lnnzy.ln.cn/index/index/article/18427.html,official_2025_admission_charter,https://zsw.lnnzy.ln.cn/,verified
LNNZY,https://www.lnnzy.ln.cn/jwc/index/index/article/19427.html,official_2025_training_plan_index,https://www.lnnzy.ln.cn/jwc/index/index/xxgk/,verified
LNNZY,https://www.lnnzy.ln.cn/static/upload/kindeditor/file/20251206/20251206011319_32337.pdf,official_2025_training_plan_pdf,https://www.lnnzy.ln.cn/jwc/index/index/article/19427.html,verified
