institution_code,url,source_type,discovered_from,verification_status
SXGC,https://www.lfvtc.cn/__local/E/88/2C/F7CCAFD7FA858CA28C49544D96E_A6AA9FA6_2970BF.pdf,official_provincial_double_high_list_reproduced,https://www.lfvtc.cn/,verified
SXGC,https://www.sxgcxy.cn/__local/3/BF/82/A7D88F5FD5628E25BDA228EA79F_D3E4ACC0_1B78EE.pdf,official_current_enrollment_brochure,https://www.sxgcxy.cn/,verified
SXGC,https://www.sxgcxy.cn/__local/2/09/F3/A9CA2C04009783CE1172308E020_48B74C10_1504E6.pdf,official_2023_talent_plan_revised_2025,https://www.sxgcxy.cn/,wrong_year
