group_id,major_code,major_name,membership_evidence_url,verification_status
HRBZY-260303,260303,智能控制技术,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-260303,260106,材料成型及控制工程,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-260303,460306,电气自动化技术,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-260303,510211,工业互联网技术,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-530702,530702,跨境电子商务,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-530702,530701,电子商务,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-530702,510205,大数据技术,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-530702,530704,网络营销与直播电商,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
