group_id,major_code,major_name,membership_evidence_url,verification_status
FJCPC-500301,500301,航海技术,https://www.fjcpc.edu.cn/cz/_t391/2024/0401/c2840a93411/page.htm,verified
FJCPC-500301,500303,轮机工程技术,https://www.fjcpc.edu.cn/cz/_t391/2024/0401/c2840a93411/page.htm,verified
FJCPC-500301,460501,船舶工程技术,https://www.fjcpc.edu.cn/cz/_t391/2024/0401/c2840a93411/page.htm,verified
FJCPC-500201,500201,道路与桥梁工程技术,https://www.fjcpc.edu.cn/dl/2025/0628/c2302a100490/page.htm,verified
FJCPC-500201,500207,智能交通技术,https://www.fjcpc.edu.cn/dl/2025/0628/c2302a100490/page.htm,verified
FJCPC-500201,420303,测绘地理信息技术,https://www.fjcpc.edu.cn/dl/2025/0628/c2302a100490/page.htm,verified
FJCPC-500201,420901,安全技术与管理,https://www.fjcpc.edu.cn/aq/2026/0326/c399a103757/page.htm,verified
FJCPC-500201,420802,环境工程技术,https://www.fjcpc.edu.cn/aq/2026/0326/c399a103757/page.htm,verified
