institution_code,seed_url,seed_type,evidence_url,verification_status
HICT,https://sz.hict.org.cn/article/844/844_1.htm,official_current_group_and_members,https://www.hict.org.cn/,verified
HICT,https://www.hict.org.cn/templates/article/twList.htm?lmid=1464&id=1458,official_training_plan_index,https://www.hict.org.cn/,verified
HICT,https://www.hict.org.cn/templates/detail/wzList.htm?xwid=11249&id=1458,official_2025_department_plan_page,https://www.hict.org.cn/,verified
HICT,https://www.hict.org.cn/HLJJZZYJSXY/upload/p1j8rs6rkr1pjhm757d434j1hh69.pdf,official_2025_training_plan_440601,https://www.hict.org.cn/,verified
HICT,https://www.hict.org.cn/HLJJZZYJSXY/upload/p1j8rs65i3v271r38von1dr51civ4.pdf,official_2025_training_plan_500201,https://www.hict.org.cn/,verified
HICT,https://www.hict.org.cn/HLJJZZYJSXY/upload/p1j8rs6f1relojlu1csl1o5j1mig6.pdf,official_2025_training_plan_440403,https://www.hict.org.cn/,verified
HICT,https://www.hict.org.cn/HLJJZZYJSXY/upload/p1j8rs6ak4o6hgkn4711cp5pon5.pdf,official_2025_training_plan_440602,https://www.hict.org.cn/,verified
